Date,AAPL,MSFT,NVDA,GOOGL,AMZN
2024-11-15,223.77755737304688,410.2018127441406,141.92369079589844,171.4996795654297,202.61000061035156
2024-11-18,226.7811737060547,410.9530944824219,140.09442138671875,174.29354858398438,201.6999969482422
2024-11-19,227.0397491455078,412.9595642089844,146.95172119140625,177.0973358154297,204.61000061035156
2024-11-20,227.75584411621094,410.6861572265625,145.83216857910156,174.96963500976562,202.8800048828125
2024-11-21,227.2784423828125,408.913330078125,146.6118621826172,166.66757202148438,198.3800048828125
2024-11-22,228.62110900878906,413.0036926269531,141.89373779296875,163.8140411376953,197.1199951171875
2024-11-25,231.6048126220703,414.7765808105469,135.96607971191406,166.6874542236328,201.4499969482422
2024-11-26,233.7829132080078,423.8883972167969,136.86572265625,168.14901733398438,207.86000061035156
2024-11-27,233.65362548828125,418.93634033203125,135.2863311767578,168.2583770751953,205.74000549316406
2024-11-29,236.0405731201172,419.40179443359375,138.19520568847656,167.97999572753906,207.88999938964844
2024-12-02,238.2882843017578,426.84979248046875,138.57504272460938,170.5054168701172,210.7100067138672
2024-12-03,241.3316650390625,427.06768798828125,140.20440673828125,170.35626220703125,213.44000244140625
2024-12-04,241.68972778320312,433.2280578613281,145.08245849609375,173.36888122558594,218.16000366210938
2024-12-05,241.71954345703125,438.37823486328125,145.0124969482422,171.6488037109375,220.5500030517578
2024-12-06,241.5206298828125,439.3191223144531,142.3933563232422,173.70693969726562,227.02999877929688
2024-12-09,245.40939331054688,441.7456359863281,138.7645263671875,174.56297302246094,226.08999633789062
2024-12-10,246.4238739013672,439.0813903808594,135.0257568359375,184.31787109375,225.0399932861328
2024-12-11,245.15081787109375,444.6871643066406,139.2643585205078,194.5008087158203,230.25999450683594
2024-12-12,246.6128387451172,445.2516784667969,137.29501342773438,191.07662963867188,228.97000122070312
2024-12-13,246.7819061279297,442.9836120605469,134.20602416992188,188.9464874267578,227.4600067138672
2024-12-16,249.6760711669922,447.2622375488281,131.95675659179688,195.7550048828125,232.92999267578125
2024-12-17,252.1028289794922,450.1047668457031,130.3472900390625,194.5207061767578,231.14999389648438
2024-12-18,246.7023468017578,433.1983337402344,128.86778259277344,187.53298950195312,220.52000427246094
2024-12-19,248.43289184570312,432.8417663574219,130.63717651367188,187.64248657226562,223.2899932861328
2024-12-20,253.1073760986328,432.4158935546875,134.65586853027344,190.52914428710938,224.9199981689453
2024-12-23,253.8831329345703,431.078857421875,139.62425231933594,193.73434448242188,225.05999755859375
2024-12-24,256.7972412109375,435.1197509765625,140.17408752441406,195.20751953125,229.0500030517578
2024-12-26,257.61273193359375,433.91143798828125,139.88417053222656,194.6998748779297,227.0500030517578
2024-12-27,254.20138549804688,426.4040832519531,136.96510314941406,191.87294006347656,223.75
2024-12-30,250.8297882080078,420.7586975097656,137.44496154785156,190.35995483398438,221.3000030517578
2024-12-31,249.05946350097656,417.4606018066406,134.2460174560547,188.42886352539062,219.38999938964844
2025-01-02,242.52516174316406,414.568603515625,138.2646942138672,188.55825805664062,220.22000122070312
2025-01-03,242.03782653808594,419.29290771484375,144.4226837158203,190.9073944091797,224.19000244140625
2025-01-06,243.66891479492188,423.749755859375,149.38104248046875,195.9640350341797,227.61000061035156
2025-01-07,240.89407348632812,418.322265625,140.09408569335938,194.5904083251953,222.11000061035156
2025-01-08,241.38137817382812,420.4913024902344,140.06410217285156,193.05747985839844,222.1300048828125
2025-01-10,235.56320190429688,414.9350280761719,135.86549377441406,191.15625,218.94000244140625
2025-01-13,233.12649536132812,413.1919250488281,133.1863555908203,190.1309814453125,218.4600067138672
2025-01-14,232.01258850097656,411.68646240234375,131.71682739257812,188.78721618652344,217.75999450683594
2025-01-15,236.57762145996094,422.22454833984375,136.1953887939453,194.6501007080078,223.35000610351562
2025-01-16,227.0198516845703,420.51104736328125,133.52626037597656,192.0222625732422,220.66000366210938
2025-01-17,228.7305145263672,424.91845703125,137.66490173339844,195.0980224609375,225.94000244140625
2025-01-21,221.4303741455078,424.3935546875,140.78387451171875,197.1385955810547,230.7100067138672
2025-01-22,222.61390686035156,441.9239196777344,147.0218505859375,197.4571075439453,235.00999450683594
2025-01-23,222.4448699951172,442.42901611328125,147.17178344726562,197.0689239501953,235.4199981689453
2025-01-24,221.56964111328125,439.804443359375,142.57327270507812,199.28866577148438,234.85000610351562
2025-01-27,228.61114501953125,430.3954772949219,118.38121032714844,190.92730712890625,235.4199981689453
2025-01-28,236.9655303955078,442.914306640625,128.94776916503906,194.40126037597656,238.14999389648438
2025-01-29,238.05955505371094,438.0909729003906,123.65948486328125,194.5107421875,237.07000732421875
2025-01-30,236.2991485595703,411.0130310058594,124.60917663574219,199.94561767578125,234.63999938964844
2025-01-31,234.71780395507812,411.08233642578125,120.03067016601562,203.0811309814453,237.67999267578125
2025-02-03,226.77120971679688,406.9820556640625,116.62179565429688,200.303955078125,237.4199981689453
2025-02-04,231.5352020263672,408.4180603027344,118.61112976074219,205.43028259277344,242.05999755859375
2025-02-05,231.2069854736328,409.32928466796875,124.78911590576172,190.44952392578125,236.1699981689453
2025-02-06,231.95291137695312,411.83502197265625,128.63784790039062,190.71827697753906,238.8300018310547
2025-02-07,226.3932647705078,405.8232116699219,129.79747009277344,184.48707580566406,229.14999389648438
2025-02-10,226.66209411621094,408.2695617675781,133.52626037597656,185.6118927001953,233.13999938964844
2025-02-11,231.6105499267578,407.4970397949219,132.7565155029297,184.46719360351562,232.75999450683594
2025-02-12,235.8420867919922,405.1199951171875,131.09706115722656,182.76502990722656,228.92999267578125
2025-02-13,240.4818878173828,406.60565185546875,135.2456817626953,185.2834014892578,230.3699951171875
2025-02-14,243.53855895996094,404.5158996582031,138.80453491210938,184.37759399414062,228.67999267578125
2025-02-18,243.40911865234375,405.7142639160156,139.35435485839844,182.92430114746094,226.64999389648438
2025-02-19,243.80738830566406,410.7950744628906,139.18438720703125,184.41741943359375,226.6300048828125
2025-02-20,244.76321411132812,412.9684753417969,140.06410217285156,183.710693359375,222.8800048828125
2025-02-21,244.48443603515625,405.108642578125,134.38595581054688,178.83322143554688,216.5800018310547
2025-02-24,246.0277099609375,400.9306335449219,130.23733520507812,178.4251251220703,212.7100067138672
2025-02-25,245.9679718017578,394.8769836425781,126.58851623535156,174.6127471923828,212.8000030517578
2025-02-26,239.3169403076172,396.6930847167969,131.23699951171875,171.9351043701172,214.35000610351562
2025-02-27,236.27023315429688,389.5477600097656,120.11064910888672,167.72459411621094,208.74000549316406
2025-02-28,240.79054260253906,393.973876953125,124.87908172607422,169.49639892578125,212.27999877929688
2025-03-03,236.9970703125,385.5384521484375,114.02263641357422,166.24143981933594,205.02000427246094
2025-03-04,234.9061737060547,385.65753173828125,115.9520034790039,170.13343811035156,203.8000030517578
2025-03-05,234.71701049804688,397.9732360839844,117.2615737915039,172.22378540039062,208.36000061035156
2025-03-06,234.3087921142578,393.8746643066406,110.53378295898438,171.55686950683594,200.6999969482422
2025-03-07,238.03256225585938,390.32183837890625,112.65309143066406,173.05992126464844,199.25
2025-03-10,226.4928436279297,377.2717590332031,106.9449691772461,165.29684448242188,194.5399932861328
2025-03-11,219.8816680908203,377.5595397949219,108.72438049316406,163.47314453125,196.58999633789062
2025-03-12,216.0384063720703,380.3581237792969,115.71273803710938,166.53256225585938,198.88999938964844
2025-03-13,208.7700958251953,375.892333984375,115.55277252197266,162.1975860595703,193.88999938964844
2025-03-14,212.56356811523438,385.60791015625,121.6413345336914,164.91815185546875,197.9499969482422
2025-03-17,213.07135009765625,385.74688720703125,119.50183868408203,163.72230529785156,195.74000549316406
2025-03-18,211.7670135498047,380.606201171875,115.40280151367188,160.11480712890625,192.82000732421875
2025-03-19,214.3059539794922,384.8735656738281,117.4923095703125,163.32366943359375,195.5399932861328
2025-03-20,213.17091369628906,383.9010009765625,118.50206756591797,162.23744201660156,194.9499969482422
2025-03-21,217.3227996826172,388.2874450683594,117.6722640991211,163.42332458496094,196.2100067138672
